player_id,draw,court,serve_period,x,y,ev
1,69,Ad,2,5.2,-1.2999999999999998,-0.24629750496637937
1,70,Deuce,1,5.2,3.5,0.22274447432911443
1,70,Deuce,2,4.9,2.8,-0.0545695696104771
1,70,Ad,1,4.7,-3.5,0.19966991142612284
1,70,Ad,1,5,-0.7999999999999998,0.1391440929714494
1,70,Ad,2,4.9,-1.5,-0.0721803743898829
1,71,Deuce,1,5.1,3.5,0.2025887058789888
1,71,Deuce,2,5,2.5999999999999996,-0.13936127955238586
1,71,Ad,1,4.800000000000001,-3.4,0.14203380485723788
1,71,Ad,1,5.1,-1.2000000000000002,0.08514790669699646
1,71,Ad,2,5.1,-2.6,-0.16592424411699458
1,72,Deuce,1,5.2,3.4000000000000004,0.159490991040108
1,72,Deuce,2,5.4,2.4000000000000004,-0.28023034110483247
1,72,Ad,1,4.800000000000001,-3.3,0.12849150779777463
1,72,Ad,1,5,-1.2000000000000002,0.07485801223255667
1,72,Ad,2,5.300000000000001,-2.8,-0.22175615468329168
1,73,Deuce,1,5.2,3.4000000000000004,0.18371210652913827
1,73,Deuce,2,5,2.9000000000000004,-0.09967691815188318
1,73,Ad,1,4.9,-3.5,0.13290920005374068
1,73,Ad,1,5,-0.8999999999999995,0.09189350871922819
1,73,Ad,2,5.1,-2.7,-0.18026042007484222
1,74,Deuce,1,5.2,3.4000000000000004,0.054192014408306344
1,74,Deuce,2,5,2.8,-0.27535243403923515
1,74,Ad,1,4.9,-3.3,0.04236525375810046
1,74,Ad,1,5.1,-1,0.015172351648330196
1,74,Ad,2,4.9,-3,-0.22044526818976862
1,75,Deuce,1,5,3.5,0.2913370181510399
1,75,Deuce,2,4.800000000000001,3.1000000000000005,0.031226142961199077
1,75,Ad,1,4.7,-3.5,0.2151296428381398
1,75,Ad,1,5.1,-0.7000000000000002,0.1546623279368012
1,75,Ad,2,4.9,-3,-0.03081459783075824
1,76,Deuce,1,5.1,3.4000000000000004,0.1905216057082056
1,76,Deuce,2,5.1,2.8,-0.15798710204092115
1,76,Ad,1,4.800000000000001,-3.6,0.22817054173378815
1,76,Ad,1,5.2,-0.5999999999999996,0.16765698651651612
1,76,Ad,2,4.5,-2.9,0.04374327302271541
1,77,Deuce,1,5.2,3.6000000000000005,0.24645864502993398
1,77,Deuce,2,4.9,3.2,-0.04874149334819866
1,77,Ad,1,4.800000000000001,-3.5,0.18162092005333408
1,77,Ad,1,5.2,-0.7999999999999998,0.12133641415885799
1,77,Ad,2,4.9,-1.2000000000000002,-0.08706729069097463
1,78,Deuce,1,5.2,3.3,0.1893235066466853
1,78,Deuce,2,4.9,1.5000000000000002,-0.1367875829026931
1,78,Ad,1,4.800000000000001,-3.5,0.2004375700336008
1,78,Ad,1,5.1,-1.0999999999999996,0.1063641537143222
1,78,Ad,2,4.9,-1.2000000000000002,-0.08111388054129731
1,79,Deuce,1,5.2,3.2,0.0706529539022146
1,79,Deuce,2,5.4,1.3,-0.3725666538225444
1,79,Ad,1,4.800000000000001,-3.3,0.12813309895069197
1,79,Ad,1,5.1,-1,0.06978590996601258
1,79,Ad,2,5.1,-1.4000000000000004,-0.2072375629773867
1,80,Deuce,1,5.2,3.4000000000000004,0.18898405007991714
1,80,Deuce,2,5.1,1.1000000000000003,-0.19471290635704108
1,80,Deuce,2,5.2,3.1000000000000005,-0.20609689361322503
1,80,Ad,1,4.800000000000001,-3.5,0.1529176446830996
1,80,Ad,1,5.1,-0.8999999999999995,0.0780122602682661
1,80,Ad,2,5.2,-3,-0.16548999550440735
1,80,Ad,2,5.2,-1.4000000000000004,-0.18634498552910428
1,81,Deuce,1,5.1,3.5,0.190636446003757
1,81,Deuce,2,5,2.5999999999999996,-0.15625230815031355
1,81,Ad,1,4.800000000000001,-3.4,0.15896522707320976
1,81,Ad,1,5,-0.8999999999999995,0.11760760818226937
1,81,Ad,2,4.9,-3,-0.09989981649444502
1,82,Deuce,1,5.1,3.5,0.2695210684653978
1,82,Deuce,1,5.1,1.2000000000000004,0.12739636058665904
1,82,Deuce,2,5,3.2,-0.03041231700580105
1,82,Ad,1,4.800000000000001,-3.5,0.2086791119371087
1,82,Ad,1,5.1,-0.7999999999999998,0.12308706233166314
1,82,Ad,2,5.300000000000001,-3.2,-0.08999166803444891
1,83,Deuce,1,5,3.4000000000000004,0.2332941521032409
1,83,Deuce,2,5.300000000000001,1.4000000000000001,-0.21292961837869673
1,83,Deuce,2,5.4,3,-0.21325261113738347
1,83,Ad,1,4.7,-3.4,0.1969050908041562
1,83,Ad,1,4.9,-0.7999999999999998,0.1393649277477566
1,83,Ad,2,5.2,-3.1,-0.14403697503394486
1,84,Deuce,1,5.1,3.4000000000000004,0.09661580866017178
1,84,Deuce,2,5.2,2.9000000000000004,-0.3177875393160777
1,84,Ad,1,4.7,-3.4,0.0910761400895303
1,84,Ad,1,5,-1.2000000000000002,0.030402719134647815
1,84,Ad,2,5,-2.7,-0.2635426306496613
1,85,Deuce,1,5.2,3.5,0.19063158435553396
1,85,Deuce,2,5,3.3,-0.12840244388338928
1,85,Ad,1,4.800000000000001,-3.4,0.1388377690563194
1,85,Ad,1,5.1,-0.8999999999999995,0.08481784657306352
